,precision,recall,f1-score,support
Fire,0.8571428571428571,1.0,0.9230769230769231,12.0
Rain,0.8888888888888888,0.6666666666666666,0.7619047619047619,12.0
Thunderstorm,0.8,1.0,0.8888888888888888,12.0
WaterDrops,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
Wind,1.0,0.8333333333333334,0.9090909090909091,12.0
Silence,0.8461538461538461,0.9166666666666666,0.88,12.0
TreeFalling,1.0,1.0,1.0,12.0
Helicopter,1.0,0.9166666666666666,0.9565217391304348,12.0
VehicleEngine,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
Axe,0.5882352941176471,0.8333333333333334,0.6896551724137931,12.0
Chainsaw,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
Generator,0.7692307692307693,0.8333333333333334,0.8,12.0
Handsaw,0.9230769230769231,1.0,0.96,12.0
Firework,0.7272727272727273,0.6666666666666666,0.6956521739130435,12.0
Gunshot,0.7142857142857143,0.8333333333333334,0.7692307692307693,12.0
WoodChop,0.8,0.3333333333333333,0.47058823529411764,12.0
Whistling,0.8571428571428571,1.0,0.9230769230769231,12.0
Speaking,1.0,0.75,0.8571428571428571,12.0
Footsteps,0.9230769230769231,1.0,0.96,12.0
Clapping,0.9230769230769231,1.0,0.96,12.0
Insect,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
Frog,1.0,0.75,0.8571428571428571,12.0
BirdChirping,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
WingFlaping,0.8461538461538461,0.9166666666666666,0.88,12.0
Lion,0.9230769230769231,1.0,0.96,12.0
WolfHowl,0.9230769230769231,1.0,0.96,12.0
Squirrel,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
accuracy,0.8672839506172839,0.8672839506172839,0.8672839506172839,0.8672839506172839
macro avg,0.8751138234798366,0.867283950617284,0.8630038016699587,324.0
weighted avg,0.8751138234798367,0.8672839506172839,0.8630038016699587,324.0
