,precision,recall,f1-score,support
Fire,0.9574468085106383,1.0,0.9782608695652174,45.0
Rain,1.0,0.9777777777777777,0.9887640449438202,45.0
Thunderstorm,0.9375,1.0,0.967741935483871,45.0
WaterDrops,1.0,1.0,1.0,45.0
Wind,0.9782608695652174,1.0,0.989010989010989,45.0
Silence,1.0,1.0,1.0,45.0
TreeFalling,1.0,1.0,1.0,45.0
Helicopter,0.9743589743589743,0.8444444444444444,0.9047619047619048,45.0
VehicleEngine,0.9302325581395349,0.8888888888888888,0.9090909090909091,45.0
Axe,0.6981132075471698,0.8222222222222222,0.7551020408163265,45.0
Chainsaw,1.0,1.0,1.0,45.0
Generator,0.8775510204081632,0.9555555555555556,0.9148936170212766,45.0
Handsaw,1.0,1.0,1.0,45.0
Firework,0.9782608695652174,1.0,0.989010989010989,45.0
Gunshot,1.0,0.9555555555555556,0.9772727272727273,45.0
WoodChop,0.7878787878787878,0.5777777777777777,0.6666666666666666,45.0
Whistling,1.0,1.0,1.0,45.0
Speaking,0.9782608695652174,1.0,0.989010989010989,45.0
Footsteps,0.9545454545454546,0.9333333333333333,0.9438202247191011,45.0
Clapping,0.9361702127659575,0.9777777777777777,0.9565217391304348,45.0
Insect,0.8823529411764706,1.0,0.9375,45.0
Frog,1.0,0.8666666666666667,0.9285714285714286,45.0
BirdChirping,1.0,1.0,1.0,45.0
WingFlaping,0.8979591836734694,0.9777777777777777,0.9361702127659575,45.0
Lion,1.0,1.0,1.0,45.0
WolfHowl,1.0,1.0,1.0,45.0
Squirrel,0.9767441860465116,0.9333333333333333,0.9545454545454546,45.0
accuracy,0.9522633744855967,0.9522633744855967,0.9522633744855967,0.9522633744855967
macro avg,0.9535420719906216,0.9522633744855967,0.951359879347706,1215.0
weighted avg,0.9535420719906217,0.9522633744855967,0.9513598793477062,1215.0
