epoch,train_loss,train_classification_loss,train_logit_consistency_loss,train_embedding_consistency_loss,development_loss,development_accuracy,development_macro_precision,development_macro_recall,development_macro_f1,backbone_learning_rate,head_learning_rate
1,3.119504456166868,3.097857882579168,0.02497072263410959,0.33304866260768456,2.7271813914609053,0.35185185185185186,0.3249685671858164,0.3518518518518519,0.3114470136452931,2.3455598455598455e-06,2.3455598455598454e-05
2,1.9780096690411921,1.9573100608900005,0.02981526439400091,0.2947311883815277,1.4877345709153165,0.6851851851851852,0.7135906093422433,0.6851851851851852,0.6817884244774233,4.691119691119691e-06,4.691119691119691e-05
3,0.9897208147348813,0.9701949398918652,0.03368501470066366,0.2557774708134892,0.9428325386204347,0.7376543209876543,0.7576395772302206,0.7376543209876543,0.7246207472945886,7.036679536679537e-06,7.036679536679536e-05
4,0.6119845083190335,0.5941430927012805,0.031051867009847665,0.23262081934530057,0.7505949828850389,0.7962962962962963,0.8220038131802838,0.7962962962962962,0.7936637499789916,7.49164478652082e-06,7.491644786520819e-05
5,0.42959275204734304,0.41408280152137633,0.023489438594823032,0.2162412680041643,0.6498229179853274,0.8055555555555556,0.8308051655437277,0.8055555555555555,0.7969953962024595,7.457912861118184e-06,7.457912861118182e-05
6,0.35168225559647437,0.33710581726498073,0.021320511712047723,0.20624672483514855,0.6222296114321109,0.845679012345679,0.8395281673059451,0.845679012345679,0.8334781924764127,7.398543434707397e-06,7.398543434707396e-05
7,0.29898660675978955,0.2853746186757897,0.018263642818819342,0.1991851800293834,0.6014444877090768,0.8271604938271605,0.8293299576824482,0.8271604938271605,0.8184704549167847,7.313968866727398e-06,7.313968866727397e-05
8,0.24840215393514545,0.23643944016945215,0.013200646123427029,0.18645169296198422,0.5391643655643542,0.845679012345679,0.85813823927859,0.845679012345679,0.8453153262757959,7.204805073736099e-06,7.204805073736098e-05
9,0.22745040976614864,0.2163372262392515,0.011311288025544743,0.17701850412988368,0.5620565277068212,0.8487654320987654,0.8551319051319051,0.8487654320987654,0.8464222835076298,7.071847043981547e-06,7.071847043981546e-05
10,0.20351595799496144,0.19338943544821238,0.009336122775179612,0.1651859556635221,0.553035272982876,0.8549382716049383,0.8643848254142371,0.8549382716049382,0.8529169227642799,6.916063047878706e-06,6.916063047878705e-05
11,0.191177653470709,0.18220362161504633,0.00729214657157071,0.15031206203095707,0.5638420316908095,0.8611111111111112,0.8656141021638097,0.8611111111111112,0.8552762181342516,6.738587586554206e-06,6.738587586554205e-05
12,0.1811294930262698,0.17302293981207006,0.005696008961141486,0.13934703185050576,0.5713905051902488,0.8641975308641975,0.8704688829688829,0.8641975308641975,0.8611075259740402,6.540713129811483e-06,6.540713129811483e-05
13,0.17999331342677274,0.17269884748959247,0.005734217265629091,0.12295244657147078,0.6423966305736651,0.845679012345679,0.8416472416472417,0.845679012345679,0.8364823445528192,6.323880703684804e-06,6.323880703684803e-05
14,0.1724663053949674,0.16598175558043116,0.003611734221421001,0.11524405141855464,0.622648113549001,0.8580246913580247,0.8694592727788463,0.8580246913580247,0.8557056188980549,6.08966939612854e-06,6.089669396128539e-05
15,0.17095250514462407,0.16518686461135929,0.003801156889348482,0.10010818180478649,0.6262166647263515,0.8518518518518519,0.8751703029480807,0.8518518518518517,0.8450527210572679,5.839784857266836e-06,5.8397848572668354e-05
16,0.17203789181363435,0.16665928219847473,0.0036423331444377345,0.09300285334020485,0.6065087965977045,0.8672839506172839,0.8752813030590809,0.867283950617284,0.8627447042763893,5.576046877950857e-06,5.5760468779508567e-05
17,0.16616231780269264,0.16128450452729506,0.002790246092141994,0.08639527590554437,0.597813759321048,0.8734567901234568,0.8821545224323003,0.8734567901234568,0.8712971061483649,5.300376137083147e-06,5.300376137083146e-05
18,0.1648783282963214,0.16044800498603304,0.002716454155391002,0.07774065062403679,0.6470686005957332,0.8487654320987654,0.8636327610011821,0.8487654320987653,0.8461870439570299,5.0147802142220525e-06,5.014780214222052e-05
19,0.16651531702114475,0.16232868550736226,0.0024539618345532986,0.07391677985404745,0.6183799932032455,0.8611111111111112,0.8693730138174582,0.8611111111111109,0.8584982392745764,4.721338969329779e-06,4.721338969329778e-05
20,0.1645116541120741,0.16070025683277184,0.0023885824197305387,0.06667361532648404,0.6221318657015577,0.8611111111111112,0.8694579929874048,0.8611111111111109,0.8599442438656749,4.422189396136477e-06,4.422189396136477e-05
21,0.15975060355332163,0.15604786082734295,0.0024538079798933016,0.06423962870497762,0.6116706235909167,0.8765432098765432,0.8833401650395115,0.8765432098765431,0.8735944306082045,4.119510059426138e-06,4.1195100594261377e-05
22,0.15635532874292063,0.15307365084227956,0.0016805791426493131,0.05891123846357251,0.6247664008120941,0.8611111111111112,0.8692406359073025,0.8611111111111109,0.8608108144017967,3.815505229580159e-06,3.815505229580158e-05
23,0.15783371843029687,0.15460311232801574,0.0021137163865564672,0.05615725713195624,0.6392605157546055,0.8611111111111112,0.8691243245981808,0.8611111111111109,0.8584556155976587,3.5123888299192214e-06,3.512388829919221e-05
24,0.1590196757726831,0.15589356243058486,0.0018940779635967272,0.054945957375529375,0.6207868160043725,0.8549382716049383,0.8617892395670174,0.8549382716049382,0.8534067060154017,3.212368313747376e-06,3.212368313747375e-05
25,0.15504652024879131,0.15209692144007594,0.0016903133523836589,0.05223072117861406,0.6200999428705914,0.8734567901234568,0.8802574815646712,0.8734567901234568,0.8708438804013824,2.917628588514192e-06,2.9176285885141914e-05
26,0.15793063532974985,0.15519882527030546,0.0014987625981581162,0.04864115415163982,0.628614527698407,0.8641975308641975,0.8723271403009966,0.8641975308641975,0.8619203510235771,2.630316104167706e-06,2.630316104167706e-05
27,0.15482589997995047,0.15233866164437782,0.001053459998751979,0.045530923170807924,0.625343770156672,0.8425925925925926,0.8489220655887323,0.8425925925925924,0.8412693449569457,2.3525232215751428e-06,2.3525232215751425e-05
28,0.15578190504032888,0.1531367245371695,0.001868952093327944,0.04542779476370341,0.6267986219115709,0.8611111111111112,0.8709284663533029,0.8611111111111109,0.8601088546882316,2.086272974848833e-06,2.086272974848833e-05
29,0.15524096386852088,0.15270989385927902,0.001632149697045715,0.04409280313569822,0.6096571934076003,0.8703703703703703,0.8762581040358819,0.8703703703703703,0.868181159211755,1.833504338546068e-06,1.8335043385460677e-05
