epoch,train_loss,train_classification_loss,train_logit_consistency_loss,train_embedding_consistency_loss,development_loss,development_accuracy,development_macro_precision,development_macro_recall,development_macro_f1,backbone_learning_rate,head_learning_rate
1,3.0118416894134596,2.9912560547169167,0.02511162919349116,0.3112661788712687,2.282744984567901,0.47818930041152263,0.4883622798362919,0.47818930041152263,0.45894498622935137,3.1291390728476823e-06,3.129139072847682e-05
2,1.4673556818446116,1.4472417048257382,0.032089398568032765,0.2739219501836976,0.9349982367130955,0.77119341563786,0.7849358807805328,0.7711934156378601,0.7666474655537157,6.258278145695365e-06,6.258278145695364e-05
3,0.7247392875341634,0.7052713706867019,0.03620514480219876,0.24453774681731835,0.5428558789408257,0.848559670781893,0.8572696214528861,0.848559670781893,0.8421057528703495,7.491608838346044e-06,7.491608838346043e-05
4,0.5041041663185281,0.48628928360357804,0.03029431180188094,0.23512039383252462,0.40460686704504145,0.8823045267489712,0.8914350161082057,0.8823045267489711,0.8804311910587429,7.440862496789247e-06,7.440862496789247e-05
5,0.3960224686866969,0.3794317518004138,0.025533556470808755,0.22968013787744057,0.3416114901196319,0.9012345679012346,0.908810452572894,0.9012345679012347,0.90078818164869,7.344784882840327e-06,7.344784882840327e-05
6,0.32917671259955983,0.314100906252861,0.020680416333639706,0.21879448849170363,0.2832176255575791,0.9242798353909465,0.924732706744063,0.9242798353909465,0.9227365323713913,7.204619179439302e-06,7.204619179439301e-05
7,0.2761482867880247,0.2618416344348471,0.01735801927845106,0.21670095858289234,0.27386936768889425,0.9168724279835391,0.9178125148958202,0.9168724279835391,0.9153995623368871,7.0221790412355895e-06,7.022179041235589e-05
8,0.25594020607459605,0.2427596448814098,0.014493014057931682,0.20563916730050424,0.2595100701131203,0.9242798353909465,0.9283223489117646,0.9242798353909466,0.9213392498124536,6.799825127055603e-06,6.799825127055602e-05
9,0.2212933403639058,0.2091420918703079,0.011328048175009691,0.19771279034329883,0.23837097702325616,0.9366255144032922,0.9377053956179874,0.9366255144032921,0.9350672241924095,6.540434554485773e-06,6.540434554485773e-05
10,0.21640159874709686,0.20490549515135845,0.01104585642091506,0.18573865457553768,0.22335676342678168,0.9358024691358025,0.9397267383821867,0.9358024691358026,0.9345048967221963,6.247363671809179e-06,6.247363671809178e-05
11,0.2056315955534503,0.19524863417172314,0.008611556255773077,0.17321300376113968,0.22741445062582386,0.9407407407407408,0.9457209020527323,0.9407407407407408,0.9385861654795251,5.924404629003161e-06,5.9244046290031606e-05
12,0.1924988298273798,0.18288566682172652,0.007422438795407261,0.16257350207561283,0.22226392172368956,0.9407407407407408,0.944822343158451,0.9407407407407408,0.9398372923553674,5.575736309741438e-06,5.5757363097414374e-05
