,precision,recall,f1-score,support
Fire,0.9375,1.0,0.967741935483871,45.0
Rain,0.9782608695652174,1.0,0.989010989010989,45.0
Thunderstorm,0.9183673469387755,1.0,0.9574468085106383,45.0
WaterDrops,1.0,1.0,1.0,45.0
Wind,0.9782608695652174,1.0,0.989010989010989,45.0
Silence,1.0,0.9777777777777777,0.9887640449438202,45.0
TreeFalling,1.0,1.0,1.0,45.0
Helicopter,0.9743589743589743,0.8444444444444444,0.9047619047619048,45.0
VehicleEngine,0.9285714285714286,0.8666666666666667,0.896551724137931,45.0
Axe,0.7608695652173914,0.7777777777777778,0.7692307692307693,45.0
Chainsaw,0.9574468085106383,1.0,0.9782608695652174,45.0
Generator,0.8936170212765957,0.9333333333333333,0.9130434782608695,45.0
Handsaw,1.0,1.0,1.0,45.0
Firework,0.9574468085106383,1.0,0.9782608695652174,45.0
Gunshot,1.0,0.9555555555555556,0.9772727272727273,45.0
WoodChop,0.8108108108108109,0.6666666666666666,0.7317073170731707,45.0
Whistling,1.0,1.0,1.0,45.0
Speaking,0.9565217391304348,0.9777777777777777,0.967032967032967,45.0
Footsteps,0.9361702127659575,0.9777777777777777,0.9565217391304348,45.0
Clapping,0.9565217391304348,0.9777777777777777,0.967032967032967,45.0
Insect,0.8653846153846154,1.0,0.9278350515463918,45.0
Frog,1.0,0.8666666666666667,0.9285714285714286,45.0
BirdChirping,0.9574468085106383,1.0,0.9782608695652174,45.0
WingFlaping,0.9361702127659575,0.9777777777777777,0.9565217391304348,45.0
Lion,1.0,1.0,1.0,45.0
WolfHowl,1.0,1.0,1.0,45.0
Squirrel,1.0,0.8888888888888888,0.9411764705882353,45.0
accuracy,0.951440329218107,0.951440329218107,0.951440329218107,0.951440329218107
macro avg,0.9519898455931011,0.9514403292181071,0.9505191725713404,1215.0
weighted avg,0.9519898455931011,0.951440329218107,0.9505191725713403,1215.0
